Codigo;Razon Social;Sucursal;Direccion Fiscal;Nro de RIF;Persona Contacto;Telefono;Direccion de Recolecta;Estatus;Email;Tarifa;Mod. Pago;F. Ult. Guia;
CE022;COMPUTER TECHNOLOGY DE VENEZUELA;VLN;CALLE 54 CENTRO COMERCIAL IRPINI, NIVEL PB LOCAL "2" URB. LA ALEGRIA, AV. BOLIVAR NORTE.;J-30232004-6;N/A;0241-8239318/ 822-89-92;VALENCIA;ACTIVO;lucia@ctech.com.ve;TARIFA NAC2012;CREDITO;2011-01-20;
CE023;SISTEMAS Y SOLUCIONES C.A;CCS;N/A;J-307170024-7;N/A;0414-6407670;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE024;DROGUERIA VIRCASA C.A;CCS;CALLE 15 CON CARRERA 17 EDIF LAS MARIA LOCAL 05, T?CHIRA;J-30872869-1;LIC. MARTA RANGEL;0276-3534415;N/A;ACTIVO;drogueriavircasa@hotmail.com;TARIFA NAC2012;CREDITO;;
CE025;OSIBECA AUTOPARTES C.A;VLN;AV CEDE?O CON BRICE?O MENDEZ CENTRO COMERCIAL J.B LOCAL 06 PB;J-30921266-4;N/A;0241-8577051/ 218-70-10;AV CEDE?O C/C BRICE?O MENDEZ;ACTIVO;osibeca@gmail.com;TARIFA NAC2012;CONTADO;2017-06-05;
CE026;AMERICAN MEDICINE C.A;VLN;EL VI?EDO, CALLE 139 N? 5-48 VALENCIA EDO.CARABOBO.;J-30775562-8;N/A;0241-8257277/ 825-36-84;N/A;ACTIVO;americanmedicine@gmail.com;TARIFA NAC2012;COBRO EN DESTINO;;
VLNC21;MEDI TECNI C.A;VLN;CALLE RICAURTE, ENTRE 24 DE JUNIO Y GIRARDOT, EDIF. ELIZABETTA, NO. 96-12L, SAN BLAS, EDO. CARABOBO;J-30212841-2;N/A;0241-8591930;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE030;OEG INTERNACIONAL SERVICE C.A;CCS;CALLE TIUNA, EDIF.WILSON, PISO 1, OFIC.1-F, BOLEITA NORTE;J-31030117-4;MARIA EUGENIA HERNANDEZ;0212-7155783 / 2326305 /2381813 / 2357858;CALLE TIUNA, EDIF WILSON PISO 1, OFICINA 1-F, BOLEITA NORTE;ACTIVO;servicioexpress@oginternacional.com;TARIFA NAC2012;CREDITO;;
CE031;PC NETWORK C.A;CCS;CALLE 15 NO 20-48 BARRIO OBRERO SAN CRISTOBAL;J-31461752-4;N/A;0414-7127052;N/A;ACTIVO;mereomonsalve@astecc.net;TARIFA NAC2012;CREDITO;;
CE032;DAVI -LAB C.A;CCS;AV. 2 ENTRE 34 Y 35 RESIDENCIAS LOS COMPADRES PB LOCAL 4 SAN CRISTOBAL.;V-05206822-0;N/A;0274-2633546/ 262-32-36/ 0414-746-72-21;N/A;ACTIVO;davi-lab@hotmail.com;TARIFA NAC2012;CREDITO;;
CE033;MEDICALEZ C.A;CCS;CALLE VÍA PRINCIPAL EL SALADO BAJO CASA Nº 2-A SECTOR LA MONTAÑITA;J-31289626-4;N/A;0274-6354448 / 0274-4141695;CALLE VÍA PRINCIPAL EL SALADO BAJO CASA Nº 2-A SECTOR LA MONTAÑITA;INACTIVO;N/A;TARIFA NAC2012;CREDITO;2010-10-21;
CE034;VENSERVI COMPUTER C.A;CCS;N/A;J-30973054-1;N/A;0271-2215282;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
VLNC22;RACOM C.A;VLN;CALLE PÁEZ C/C AV. MONTES DE OCA, EDIFICIO CENTRO PROF. CAPITOLIO, PISO 1 , APTO 4, APARTADO POSTAL 846, ZONA POSTAL 2001-A. VALENCIA. EDO CARABOBO;J-29366283-4;N/A;0414-4296041;ELECTROMED: UBICADO EN ZON. IND. NORTE;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE036;INVERSIONES MIA 1109 C.A;CCS;N/A;J-31401961-9;N/A;0212-9930513;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE037;NO USAR COD CR516CORP. DEP. HORIZONTE 2356 US C.A.;CCS;N/A;J-31480840-0;N/A;0212-2341342;N/A;INACTIVO;N/A;TARIFA NAC2012;CONTADO;;
CE038;CODANYLAR;CCS;N/A;J-29502642-0;N/A;0281-2770111;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
VLNC23;CARDIMEDIC C.A;VLN;AV. NAVAS ESPINOLAS CRUCE CON MARTIN TOVAR;J-07582767-8;N/A;0241-8594946;AV NAVAS ESPINOLA CENTRO COMERCIAL IDACA LOCAL 1;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2012-08-02;
VLNC24;PERFIL CREATIVO C.A;VLN;AV. 4 AVENIDAS, C.C.P. REDA BUILDING, TORRE A, PISO 7, OFICINA 7-4;J-31113552-9;N/A;0241-8254062;AV. 4 AVENIDAS, C.C.P. REDA BUILDING, TORRE A, PISO 7, OFICINA 7-4;ACTIVO;N/A;TARIFA NAC2012;CONTADO;;
CE042;DOTAMEL C.A;CCS;AV PEDRO LEON TORRE ENTRE CARRERA 49 Y 50 C.C. VENROL NIVEL PB LOCAL A12 SECTOR EL CENTRO. BQTO;J-31076156-6;TIBISAY BOLIVAR;0251-4467344 / 04166508948;AV PEDRO LEON TORRE ENTRE CARRERA 49 Y 50 C.C. VENROL NIVEL PB LOCAL A12 SECTOR EL CENTRO. BQTO;ACTIVO;dotamelca43@hotmail.com;TARIFA NAC2012;CREDITO;;
CR289;DISTRIBUIDORA MIROS DE VENEZUELA C.A;VLN;CALLE JUPITER, NO. 91-40, URB. TRIGAL NORTE, QTA. ANDREA;J-31583033-7;N/A;0241-8426063;CALLE JUPITER, NO. 91-40, URB. TRIGAL NORTE, QTA. ANDREA;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
VLNC25;IDERCA VALENCIA C.A;VLN;AV. MICHELENA, NO. 83-50, VALENCIA EDO. CARABOBO;J-07529735-0;N/A;0241-8322415 / 2420 / 5220;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE045;C.A QUIMICA INTEGRADA INTEQUIM;VLN;N/A;J-07504842-3;N/A;0241-8742327;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE046;LISETTE RAMOS;CCS;N/A;V-6.552.360;N/A;0414-4423155;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE047;ELECTROMÉDICA CARLÉS C.A;VLN;N/A;J-30684920-3;N/A;0241-8252423 / 8263489;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE048;MEDICAL WORLD C.A;CCS;CALLE 12 Y 13 ENTRE 74 Y 75,  CC AVENTURA,  PB, LOCAL 25, SECTOR TIERRA NEGRA , MARACAIBO;J-30594852-6;N/A;0261-7983927 / EXT 101-111;CALLE 12 Y 13 ENTRE 74 Y 75,  CC AVENTURA,  PB, LOCAL 25, SECTOR TIERRA NEGRA , MARACAIBO;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2012-05-28;
CE049;ORQUESTA SINFONICA DE LA OPERA;CCS;N/A;J-30821403-5;N/A;0212-9851437 / 3680944;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE050;MOVILCENTRO NPA C.A;CCS;AV CONSTITUCION OESTE NRO 62 MARACAY EDO ARAGUA;J-31082838-5;PEDRO MEDINA;0243-5544743 / 1556 / 5533222;AV CONSTITUCION OESTE NRO 62 MARACAY EDO ARAGUA;ACTIVO;repuestos.npa@gmail.com;TARIFA NAC2012;CREDITO;;
CE051;VIDRIOS VULCANO C.A;CCS; AV BOLÍVAR, LOCAL 4-17, EL VIGIA, MERIDA;J-30763672-6;MARYOLY PUENTES;0275 8815191;AV. BOLIVAR LOCAL 4-17 EL VIGIA, MERIDA;ACTIVO;vidriosvulcano@cantv.net;TARIFA NAC2012;CREDITO;2011-08-25;
CE052;DIGITAL FUTURE C.A;CCS;N/A;J-31514933-8;N/A;0274-2660361 / 4173927;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE053;COMPU SAINT C.A;CCS;N/A;J-31645871-7;N/A;0424-7094460;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE054;JOSE ENRIQUE ARAUJO;CCS;N/A;V-12349838-7;N/A;0274-2440712 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE055;ALEJANDRO RONDON;CCS;N/A;15.370.660;N/A;0416-8160286;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE056;NO USAR!BERSPIRIT INDUSTRIAL C.A;CCS;ZONA INDUSTRIAL LAS MINAS, SAN ANTONIO DE LOS ALTOS, CALLE BOLIVAR, GALPON 01 EDO. MIRANDA, VENEZUELA.;J-30919390-2;N/A;0212-3729571;ZONA INDUSTRIAL LAS MINAS, SAN ANTONIO DE LOS ALTOS, CALLE BOLIVAR, GALPON 01 EDO. MIRANDA, VENEZUELA.;INACTIVO;N/A;TARIFA NAC2012;CREDITO;2010-07-15;
CE057;GB SOLUTIONS C.A;CCS;AV. FRANCISCO DE MIRANDA, CRUCE CON CALLE CAPITOLIO, EDIF. TORRE BAZAR BOLIVAR, PISO 11 OFIC. 1102-B;J-315600471;DAISY CARREÑO;0212-2329255            0212-2329555;AV. FRANCISCO DE MIRANDA, CRUCE CON CALLE CAPITOLIO, EDIF. TORRE BAZAR BOLIVAR, PISO 11 OFIC. 1102-B;ACTIVO;dcarreno@gbs.com.ve;TARIFA NAC2012;CREDITO;2011-10-03;
CE058;BIOQUIMICOS DEL CENTRO C.A;VLN;N/A;J-29381914-8;N/A;0241-82411126;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE059;SUMACIEN C.A;VLN;N/A;J-29439063-3;FRABRIZIO CAMPODONICO;0241-3160858;ZON IND CASTILLITO;ACTIVO;sumacien@cantv.net;TARIFA NAC2012;CONTADO;2011-05-19;
CE060;GALANTE C FRANCISCO J;VLN;N/A;V-12029533-7;N/A;0241-8435972 /;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE061;GLOBAL GRES C.A;CCS;AV LLANO ADENTRO, ENTRE TERRANOVA Y CIRCUNVALACION SECTOR ACHIPANO EDF GLOBAL GRES, EL GUAMACHE NVA ESPARTA;J-30878728-0;JAVIER MATA;0295-2636101 / 2638317;AV LLANO ADENTRO, ENTRE TERRANOVA Y CIRCUNVALACION SECTOR ACHIPANO EDF GLOBAL GRES, EL GUAMACHE NVA ESPARTA;ACTIVO;globalgres@cantv.net;TARIFA NAC2012;CREDITO;;
CE062;YIBKAR COMPUTER C.A;CCS;AV URDANETA CON CRUCE AV FUERZAS ARMADAS EDF SUDAMERIS PISO 12 OFIC 1207. CARACAS;J-29400109-2;ANDREINA MORALES;0212-9199661 04142868202;AV URDANETA CON CRUCE AV FUERZAS ARMADAS EDF SUDAMERIS PISO 12 OFIC 1207. CARACAS;ACTIVO;sumiyey@gmail.com;MIAMI;CREDITO;;
CE063;INSUMOS MÉDICOS QUIRÚRGICOS C.A;CCS;N/A;J-31622200-4;N/A;0274-4176818 / 04147465296;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE064;CRISTALANDES C.A;CCS;N/A;J-09003752-7;N/A;0274-2667294;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CR246;RIO SHOES C.A;CCS;ZONA INDUSTRIAL EL MARQUEZ CALLE LA MURA EDIFICIO PUCCI PISO 3 OFICINA B - GUATIRE - EDO MIRANDA;J-29424001-1;RICARDO PAGLIUCA;0212-3410719;ZONA INDUSTRIAL EL MARQUEZ CALLE LA MURA EDIFICIO PUCCI PISO 3 OFICINA B - GUATIRE - EDO MIRANDA;ACTIVO;;TARIFA NAC2012;CREDITO;;
CE066;ARCON SISTEMAS DE JOSE E ARAUJO;CCS;N/A;V-12349838-7;TEST;0274-2440712 / 04147457796;TEST;ACTIVO;test;TARIFA NAC2012;CREDITO;;
CE067;PLAYLIFE DE HECTOR ANDRADE;CCS;N/A;V-16656339-5;N/A;0274-2510909;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE068;DELTA A - 1 TECHNOLOGIES C.A;CCS;AV MADRID QUINTA EL CARMEN LA CALIFORNIA NORTE, QUINTA CON TOLDO AMARILLO, AL LADO DE MOTOS EMPIRE;J-31271637-1;ALI JIMENEZ;0212-2727369;AV MADRID QUINTA EL CARMEN LA CALIFORNIA NORTE, QUINTA CON TOLDO AMARILLO, AL LADO DE MOTOS EMPIRE;ACTIVO;jimenezali@gmail.com;TARIFA NAC2012;CREDITO;;
CE069;CONNECT SIC C.A;CCS;N/A;J-30522551-6;N/A;0261-7922365;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE070;INGENIERÍA ELÉCTRICA Y SISTEMAS;CCS;N/A;J-30362928-8;N/A;0274-2522779 - 4146594;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE071;INVERSIONES CAMPOMEDICAL C.A;CCS;AV LAS FUENTES (FINAL) RESIDENCIAS PARAISO PISO7 APTO 13;J-31643037-5;CAMPO ELIAS;0212-4617139;AV LAS FUENTES (FINAL) RESIDENCIAS PARAISO PISO7 APTO 13;ACTIVO;ccmelendez@hotmail.com;TARIFA NAC2012;CREDITO;;
CE072;MULTICREDITO RUIZ C.A;CCS;CALLE LIBERTAD NRO 15 CASCO HISTORICO. CIUDAD BOLIVAR;J-09501745-1;MARIA LUISA FERNANDEZ;0285-6323979;CALLE LIBERTAD NRO 15 CASCO HISTORICO. CIUDAD BOLIVAR;ACTIVO;multigrab2@gmail.com;TARIFA NAC2012;CREDITO;;
CE073;SETRANCA C.A;CCS;CL. 9, LOCAL NRO 9-57 URBANIZACIÓN LA ERMITA, SAN CRISTOBAL, TACHIRA;J-30412739-1;N/A;0276-3414639 /;CL. 9, LOCAL NRO 9-57 URBANIZACIÓN LA ERMITA, SAN CRISTOBAL, TACHIRA;INACTIVO;N/A;TARIFA NAC2012;CONTADO;;
CE074;SUPPLY OFICINA MARGARITA C.A;CCS;CALLE LIBERTAD BOULEVAR  LOS ROBLES PAMPATAR;J-06507586-4;N/A;0295-2626563;CALLE LIBERTAD BOULEVAR  LOS ROBLES PAMPATAR;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE075;GRUPO TECNOBAR NTERNACIONAL C.A;CCS;(JV TECNOLOGIES)CALLE LONDRES CON CALLE NEW YORK, LAS MERCEDES CARACAS;J-30760493-0;MARLY DELGADO;0212-9935024 / 9931/;(JV TECNOLOGIES);ACTIVO;jvatecnologia@gmail.com;TARIFA NAC2012;CREDITO;;
CR296;MANUFACTURAS MAKER C.A;VLN;N/A;J-30205600-4;ANALIA;0241-8716032 / 7225 / 4953;URB. TERRAZAS DE CASTILLITO Nº 104-21, LOCAL 5, VALENCIA;ACTIVO;n/a;TARIFA NAC2012;CREDITO;2012-02-01;
CE077;MULTISERVICIOS VIP C.A;CCS;N/A;J-00343234-2;N/A;0212-3774338 / 0212-9912185;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2011-05-10;
CE078;NEBABRICA C.A;CCS;N/A;J-30402599-8;N/A;0261-7986105;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE079;GRES LOS ANDES C.A;CCS;CARRERA 2 NRO 6 - 10 RETORNO DE VIAS RIBERAS DEL TORBES.;J-29453063-0;ALIZ YOHANA SAYAGO;0276-3443440;CARRERA 2 NRO 6 - 10 RETORNO DE VIAS RIBERAS DEL TORBES.;ACTIVO;gredelanca@hotmail.com;TARIFA NAC2012;CREDITO;;
CE081;3S SYSTEMS DE VENEZUELA C.A;VLN;N/A;J-31264058-8;CONTACTO;0241-8676721 / 8677010;DIRECCION;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE082;RAUL EDUARDO SANHOUSE;CCS;N/A;V-16.163.093;N/A;0286-9616239 / 04148985350;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE083;COMPU MUNDO,COMPUTACION E INTERNET DE JHONNY SALAS;CCS;N/A;V-16.039.391-9;N/A;0426-9757681 / 5730056;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE084;AVANTIS PC C.A;CCS;AV 13 CON CALLE 7 EL VIGIA EDO MERIDA;J-31704391-0;JOSE QUINTERO;0275-8817106;AV 13 CON CALLE 7 EL VIGIA EDO MERIDA;ACTIVO;avantispc@cantv.net;TARIFA NAC2012;CREDITO;2010-07-28;
CE085;SUPER COMPUTER C.A;CCS;N/A;J-29501875-4;N/A;0274-2522666;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE086;ASOC.DE CORREDORES INMOBILIARIOS DE VZLA C.A.;CCS;N/A;J-312242325-0;N/A;0212-2859110;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2011-03-14;
CE087;CONSTRUCTORA CONACA C.A;CCS;CARRET. MARACAY-MARIARA, KM. 3, VÍA LÁMPARAS MARIARA, ENTRANDO POR SURAMERICANA DE POLIETILENO;J-00007946-3;N/A;0243-2631066 / 2631155;CARRET. MARACAY-MARIARA, KM. 3, VÍA LÁMPARAS MARIARA, ENTRANDO POR SURAMERICANA DE POLIETILENO;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE088;FULL COMUNICACIONES Y REDES C.A;VLN;N/A;J-315349963-9;N/A;0241-8577064;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE089;A1 TEXTIL C.A;VLN;N/A;J-29357153-7;CONTACTO A1 TEXTIL;0241-8578501 / 8580406;DIRECCION DE A1 TEXTIL;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE090;INVERSIONES ODIN C.A;VLN;N/A;J-30745097-5;N/A;0242-3618625 / 9124;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE091;SYNGENTA CROP PROTECTION S.A;VLN;N/A;J-30836428-2;N/A;0241-8255011 / 4833;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE092;CG 7316 C.A;VLN;N/A;J-30751081-1;N/A;0241-8721669;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE093;COPERLAB R.L;VLN;N/A;J-29543693-9;N/A;0241-8721669;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2012-05-11;
CE094;PCM WIRELESS C.A;CCS;CALLE 65 ENTRE BELLA VISTA Y 36 MARACAIBO EDO ZULIA;J-308554264-4;N/A;0261-7921812;CALLE 65 ENTRE BELLA VISTA Y 36 MARACAIBO EDO ZULIA;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE095;GRAWALCA DE GRACIELA MACHADO;CCS;N/A;V-11.467.222-6;N/A;0274-4177233;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE096;CORPORACION GERALEJO C.A;VLN;N/A;J-31330352-6;N/A;0241-8262426;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;2011-03-11;
CE097;INVERSIONES VZV23 C. A;CCS;LA URBINA;J-29572410-1;N/A;0212-2432385;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE098;VIDRIOS FRANCOCA C.A;CCS;AV ANDRÉS BELLO, CON AV. PPAL. URB. SAN CBAL., CON CALLE 1 LOCAL 2, MÉRIDA, EDO. MÉRIDA.;J-30016339-3;ELOY DAVILA;0274-4177223;AV ANDRÉS BELLO, CON AV. PPAL. URB. SAN CBAL., CON CALLE 1 LOCAL 2, MÉRIDA, EDO. MÉRIDA.;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE099;MOTOR CYCLES C.A;CCS;N/A;J-29427518-4;N/A;0274-2513038;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE100;LA GRAN TIENDA DEL COMPUTADOR C;VLN;N/A;J-30805209-4;N/A;0241-8223844 / 3850;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE101;FULL COMUNICACIONES Y REDES C.A;VLN;N/A;J-31534963-9;N/A;0241-8577068;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE102;CONSORCIO PETROQUÍMICO DEL ZULIA;CCS;N/A;J-31535804-2;N/A;0212-9751825 / 9794978;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CR336;BANCO CONFEDERADO S.A;CCS;N/A;J-30107898-5;N/A;0295-2654151 / 2641582;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE104;PROMOSERVICE 210 C.A.;CCS;N/A;J-30995548-9;N/A;0212-2321304/0212-2328281;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE105;TRAINCO FERREMARKET C.A.;CCS;CARRERA 10 ESQUINA CALLE 6 LA CONCORDIA Nº 5-155 SAN CRISTOBAL , TACHIRA, VENEZUELA;J-31393954-4;SARITA COLMENARES GARCIA;0276-3463117;CARRERA 10 ESQUINA CALLE 6 LA CONCORDIA Nº 5-155 SAN CRISTOBAL , TACHIRA, VENEZUELA;INACTIVO;trainco@movistar.net.ve;TARIFA NAC2012;CREDITO;;
CE106;DIROBER C.A;CCS;AVENIDA 1° PARTE BAJA GALPON SILVACAR, ZONA INDUSTRIAL PARAMILLO, SAN CRISTOBAL ESTADO TACHIRA;J-29406773-5;MARISELA RODRIGUEZ;0276-3562173;AVENIDA 1° PARTE BAJA GALPON SILVACAR, ZONA INDUSTRIAL PARAMILLO, SAN CRISTOBAL ESTADO TACHIRA;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE107;MAKRO MEDICAL  N.A.;CCS;N/A;J-30567752-2;N/A;0276-3561256;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE108;MYCOM VENEZUELA SALES & SERVICE;CCS;AV. AV INTERCOMUNAL, EDIFICIO TECHOMAT, PISO 1, LOCAL 1, SECTOR INTERCOMUNAL, MARACAY, ARAGUA;J-30753416-8;N/A;0243/ 2693003;BLVARD. SABANA GRANDE, EDIFICIO SELEMAR, PISO 8, OFICINA UNICA, URBANIZACIÓN EL RECREO, CARACAS, DISTRITO CAPITAL;INACTIVO;ventas@mycomve.com;TARIFA NAC2012;CREDITO;;
CE109;MEDICAL EXPRESS C.A;CCS;VIA PRINCIPAL LA CASTRA #7-32 SAN CRISTÓBAL TÁCHIRA-VENEZUELA;J-31171865-6;alain cardenas;(0276) 346-08-49;VIA PRINCIPAL LA CASTRA #7-32 SAN CRISTÓBAL TÁCHIRA-VENEZUELA;ACTIVO;administracionsc@medicalexpress.com.ve;TARIFA NAC2012;CREDITO;;
CE110;VENEOFF C.A;VLN;N/A;J-31182248-8;N/A;0241-8580365;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CE111;PETROCASA S.A;VLN;N/A;J-293615950;N/A;0245-5609339;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
